'Frame','Jitter'
'631','0.160659'
'632','0.128955'
'633','0.137177'
'634','0.128724'
'635','0.129382'
'636','0.127802'
'637','0.1282'
'638','0.127907'
'639','0.15967'
'640','0.129019'
'641','0.137168'
'642','0.128044'
'643','0.129183'
'644','0.127978'
'645','0.12818'
'646','0.128089'
'647','0.160264'
'648','0.129222'
'649','0.134061'
'650','0.12892'
'651','0.129209'
'652','0.128136'
'653','0.128045'
'654','0.12797'
'655','0.160648'
'656','0.128901'
'657','0.133075'
'658','0.129093'
'659','0.128136'
'660','0.59416'
'661','0.100001'
'662','0.100001'
'663','0.100001'
'664','0.100001'
'665','0.1'
'666','0.100001'
'667','0.100001'
'668','0.1'
'669','0.1'
'670','0.100001'
'671','0.1'
'672','0.100001'
'673','0.100001'
'674','0.102682'
'675','0.128185'
'676','0.127963'
'677','0.160547'
'678','0.129004'
'679','0.128488'
'680','0.128249'
'681','0.1276'
'682','0.135875'
'683','0.128198'
'684','0.127995'
'685','0.160682'
'686','0.128954'
'687','0.129344'
'688','0.128833'
'689','0.129544'
'690','0.136164'
'691','0.12814'
'692','0.128053'
'693','0.128162'
'694','0.127993'
'695','0.128243'
'696','0.15923'
'697','0.128398'
'698','0.131912'
'699','0.128133'
'700','0.128082'
'701','0.12803'
'702','0.128351'
'703','0.161202'
'704','0.127876'
'705','0.128382'
'706','0.132008'
'707','0.128104'
'708','0.127968'
'709','0.128049'
'710','0.159524'
'711','0.128331'
'712','0.128075'
'713','0.12812'
'714','0.135996'
'715','0.128116'
'716','0.127865'
'717','0.159535'
'718','0.128957'
'719','0.128333'
'720','0.128981'
'721','0.128233'
'722','0.136836'
'723','0.128144'
'724','0.128035'
'725','0.160472'
'726','0.129098'
'727','0.129251'
'728','0.128924'
'729','0.129315'
'730','0.131845'
'731','0.127976'
'732','0.128053'
'733','0.160366'
'734','0.129224'
'735','0.128404'
'736','0.12806'
'737','0.12794'
'738','0.131923'
'739','0.128169'
'740','0.159661'
'741','0.128955'
'742','0.129069'
'743','0.128142'
'744','0.128038'
'745','0.128152'
'746','0.136941'
'747','0.12783'
'748','0.159412'
'749','0.129467'
'750','0.128205'
'751','0.129165'
'752','0.1279'
'753','0.127946'
'754','0.150723'
'755','0.128225'
'756','0.137317'
'757','0.12805'
'758','0.128067'
'759','0.159631'
'760','0.12883'
'761','0.129308'
'762','0.128202'
'763','0.128059'
'764','0.131734'
'765','0.128249'
'766','0.160516'
'767','0.129101'
'768','0.129086'
'769','0.129207'
'770','0.127881'
'771','0.128158'
'772','0.136978'
'773','0.128216'
'774','0.127987'
'775','0.160455'
'776','0.127922'
'777','0.128219'
'778','0.128093'
'779','0.12809'
'780','0.13299'
'781','0.129246'
'782','0.160347'
'783','0.129241'
'784','0.128954'
'785','0.129045'
'786','0.129231'
'787','0.128182'
'788','0.135696'
'789','0.128269'
'790','0.12898'
'791','0.160597'
'792','0.12781'
'793','0.128439'
'794','0.127788'
'795','0.128159'
'796','0.135834'
'797','0.128394'
'798','0.127715'
'799','0.160756'
'800','0.128969'
'801','0.128328'
'802','0.129037'
'803','0.127988'
'804','0.132041'
'805','0.129062'
'806','0.159428'
'807','0.129265'
'808','0.129078'
'809','0.128136'
'810','0.128086'
'811','0.128129'
'812','0.131881'
'813','0.128549'
'814','0.160982'
'815','0.128064'
'816','0.129134'
'817','0.129177'
'818','0.12797'
'819','0.128196'
'820','0.136835'
'821','0.128953'
'822','0.160537'
'823','0.129342'
'824','0.129001'
'825','0.128202'
'826','0.128016'
'827','0.127986'
'828','0.134611'
'829','0.128084'
'830','0.128036'
'831','0.128108'
'832','0.160508'
'833','0.128032'
'834','0.128232'
'835','0.128136'
'836','0.132901'
'837','0.127954'
'838','0.129108'
'839','0.160636'
'840','0.129036'
'841','0.128234'
'842','0.1279'
'843','0.128272'
'844','0.131928'
'845','0.128126'
'846','0.160397'
'847','0.128977'
'848','0.128046'
'849','0.12818'
'850','0.128027'
'851','0.128094'
'852','0.140763'
'853','0.123323'
'854','0.160754'
'855','0.12908'
'856','0.128073'
'857','0.128037'
'858','0.128147'
'859','0.12804'
'860','0.13583'
'861','0.128172'
'862','0.160587'
'863','0.128827'
'864','0.129334'
'865','0.129194'
'866','0.127933'
'867','0.128144'
'868','0.13593'
'869','0.128212'
'870','0.128024'
'871','0.15948'
'872','0.127939'
'873','0.128276'
'874','0.128079'
'875','0.12808'
'876','0.13277'
'877','0.128345'
'878','0.160322'
'879','0.129258'
'880','0.128053'
'881','0.128132'
'882','0.127969'
'883','0.129268'
'884','0.132848'
'885','0.159453'
'886','0.12907'
'887','0.129224'
'888','0.127977'
'889','0.128225'
'890','0.127895'
'891','0.128459'
'892','0.13753'
'893','0.159534'
'894','0.129197'
'895','0.129114'
'896','0.12668'
'897','0.128472'
'898','0.128651'
'899','0.128078'
'900','0.150593'
'901','0.127946'
'902','0.136985'
'903','0.127766'
'904','0.160961'
'905','0.128449'
'906','0.128136'
'907','0.128219'
'908','0.127099'
'909','0.128323'
'910','0.134092'
'911','0.128896'
'912','0.161078'
'913','0.128244'
'914','0.128117'
'915','0.128988'
'916','0.128136'
'917','0.12807'
'918','0.164402'
'919','0.129302'
'920','0.128965'
'921','0.128219'
'922','0.129012'
'923','0.128051'
'924','0.128178'
'925','0.128874'
'926','0.160618'
'927','0.104156'
'928','0.161446'
'929','0.128417'
'930','0.129085'
'931','0.12822'
'932','0.127923'
'933','0.128223'
'934','0.160149'
'935','0.106746'
'936','0.160472'
'937','0.1295'
'938','0.128654'
'939','0.129115'
'940','0.128036'
'941','0.127946'
'942','0.128048'
'943','0.137135'
'944','0.128107'
'945','0.160534'
'946','0.129122'
'947','0.128139'
'948','0.127963'
'949','0.128203'
'950','0.127912'
'951','0.13196'
'952','0.160551'
'953','0.129141'
'954','0.128205'
'955','0.128193'
'956','0.127913'
'957','0.12808'
'958','0.163519'
'959','0.129253'
'960','0.128934'
'961','0.128106'
'962','0.128022'
'963','0.128173'
'964','0.127859'
'965','0.128622'
'966','0.160755'
'967','0.104906'
'968','0.160226'
'969','0.128738'
'970','0.127713'
'971','0.128213'
'972','0.127855'
'973','0.12821'
'974','0.160518'
'975','0.104222'
'976','0.127167'
'977','0.161408'
'978','0.128957'
'979','0.129338'
'980','0.12807'
'981','0.128088'
'982','0.128227'
'983','0.132968'
'984','0.127343'
'985','0.160942'
'986','0.128169'
'987','0.128874'
'988','0.129294'
'989','0.128172'
'990','0.127961'
'991','0.133226'
'992','0.160367'
'993','0.128119'
'994','0.128136'
'995','0.128087'
'996','0.128053'
'997','0.128094'
'998','0.128199'
'999','0.138063'
'1000','0.159178'
'1001','0.129317'
'1002','0.127914'
'1003','0.128326'
'1004','0.127803'
'1005','0.12805'
'1006','0.128096'
'1007','0.16853'
'1008','0.128871'
'1009','0.129327'
'1010','0.127972'
'1011','0.128242'
'1012','0.128066'
'1013','0.128013'
'1014','0.128135'
'1015','0.163436'
'1016','0.129039'
'1017','0.128188'
'1018','0.128091'
'1019','0.128289'
'1020','0.127983'
'1021','0.128132'
'1022','0.160245'
'1023','0.126977'
'1024','0.132173'
'1025','0.129576'
'1026','0.128123'
'1027','0.128206'
'1028','0.128308'
'1029','0.160631'
'1030','0.128081'
'1031','0.128313'
'1032','0.137686'
'1033','0.128258'
'1034','0.128822'
'1035','0.127992'
'1036','0.128012'
'1037','0.160848'
'1038','0.128044'
'1039','0.128317'
'1040','0.135804'
'1041','0.128027'
'1042','0.128285'
'1043','0.127911'
'1044','0.128084'
'1045','0.160496'
'1046','0.128124'
'1047','0.128244'
'1048','0.119023'
'1049','0.128369'
'1050','0.169323'
'1051','0.128423'
'1052','0.127496'
'1053','0.127724'
'1054','0.127891'
'1055','0.127699'
'1056','0.159384'
'1057','0.128159'
'1058','0.132024'
'1059','0.128867'
'1060','0.127824'
'1061','0.129171'
'1062','0.129053'
'1063','0.16063'
'1064','0.12895'
'1065','0.128209'
'1066','0.132866'
'1067','0.128033'
'1068','0.128132'
'1069','0.128355'
'1070','0.160025'
'1071','0.127615'
'1072','0.129922'
'1073','0.129247'
'1074','0.136805'
'1075','0.129337'
'1076','0.128065'
'1077','0.127992'
'1078','0.128792'
'1079','0.160713'
'1080','0.129181'
'1081','0.129168'
'1082','0.135818'
'1083','0.128346'
'1084','0.128291'
'1085','0.127822'
'1086','0.127909'
'1087','0.1608'
'1088','0.128813'
'1089','0.129277'
'1090','0.134022'
'1091','0.128114'
'1092','0.12802'
'1093','0.128078'
'1094','0.128215'
'1095','0.162946'
'1096','0.127379'
'1097','0.129061'
'1098','0.131574'
'1099','0.128798'
'1100','0.127071'
'1101','0.128913'
'1102','0.160085'
'1103','0.129613'
'1104','0.129068'
'1105','0.128225'
'1106','0.13768'
'1107','0.129284'
'1108','0.127924'
'1109','0.128152'
'1110','0.128156'
'1111','0.160531'
'1112','0.128972'
'1113','0.129353'
'1114','0.103589'
'1115','0.16059'
'1116','0.128024'
'1117','0.128389'
'1118','0.127918'
'1119','0.128161'
'1120','0.127826'
'1121','0.160567'
'1122','0.106286'
'1123','0.160804'
'1124','0.127952'
'1125','0.129321'
'1126','0.129068'
'1127','0.128132'
'1128','0.127852'
'1129','0.12851'
'1130','0.133072'
'1131','0.161005'
'1132','0.128355'
'1133','0.128876'
'1134','0.128056'
'1135','0.128207'
'1136','0.129086'
'1137','0.164539'
'1138','0.128915'
'1139','0.128058'
'1140','0.129379'
'1141','0.128085'
'1142','0.127995'
'1143','0.128035'
'1144','0.127949'
'1145','0.164479'
'1146','0.132006'
'1147','0.129249'
'1148','0.128974'
'1149','0.129202'
'1150','0.12804'
'1151','0.127835'
'1152','0.128063'
'1153','0.160879'
'1154','0.105162'
'1155','0.159715'
'1156','0.128455'
'1157','0.128029'
'1158','0.127988'
'1159','0.128155'
'1160','0.127526'
'1161','0.160254'
'1162','0.132832'
'1163','0.129754'
'1164','0.128702'
'1165','0.128326'
'1166','0.128139'
'1167','0.127995'
'1168','0.128128'
'1169','0.160373'
'1170','0.134152'
'1171','0.129298'
'1172','0.129001'
'1173','0.128693'
'1174','0.128145'
